Have,Generation,Allegiance,Year,Country/Region,Type,Name,Description,Repainted,Remolded
,1-2-3 Transformers,A,2002,USA,Deluxe,Airlift Andy,Red/White Helicopter,Yes,No
,1-2-3 Transformers,A,2002,USA,Deluxe,Charlie Chopper,Orange/White/Grey Helicopter,No,No
,1-2-3 Transformers,A,2002,USA,Deluxe,Fire Marshall Mike,Red/White Car,Yes,No
,1-2-3 Transformers,A,2002,USA,Deluxe,Policeman Pete,Blue/White Police Car,No,No
,1-2-3 Transformers,A,2001,USA,Ultra,Rescue Roy,Red/Grey/Black Fire Truck,No,No
,Alternators,A,2006,USA,Basic,Camshaft,,Yes,Yes
,Alternators,D,2004,USA,Basic,Dead End,Black Dodge Viper Competition Coupe,Yes,Yes
,Alternators,D,2005,USA,Basic,Decepticharge,Yellow/Black Honda S2000,Yes,No
,Alternators,A,2004,USA,Basic,Grimlock,Grey Ford Mustang GT,No,No
,Alternators,A,2004,USA,Basic,Hound,Green Jeep Wranger,No,No
,Alternators,A,2004,USA,Basic,Meister,White Mazda RX-8,No,No
,Alternators,A,2006,USA,Basic,MIrage,,No,No
,Alternators,D,2006,USA,Basic,Nemesis Prime,Black Dodge Ram SRT-10,Yes,No
,Alternators,A,2006,USA,Basic,Optimus Prime,Red Dodge Ram SRT-10,No,No
,Alternators,A,2005,USA,Basic,Prowl,White/Black Honda Integra Type-R Police,No,No
,Alternators,D,2005,USA,Basic,Ravage,Black Cheverolet Corvette Z06,Yes,Yes
,Alternators,A,2006,USA,Basic,Ricochet,Black Subaru Impreza WRX,Yes,Yes
,Alternators,D,2005,USA,Basic,Shockblast,Purple Mazda RX-8 Mazdaspeed,Yes,Yes
,Alternators,A,2003,USA,Basic,Sideswipe,Red Dodge Viper SRT 10,No,No
,Alternators,A,2004,USA,Basic,Silveretreak,Silver Subaru Impreza WRX,Yes,Yes
,Alternators,A,2004,USA,Basic,Skids,Blue Toyota bB X Version,No,No
,Alternators,A,2003,USA,Basic,Smokescreen,Blue/Grey Subaru Impreza WRC 2003,No,No
,Alternators,A,2005,USA,Basic,Sunstreaker,Yellow/Black Dodge Viper Competition Coupe,Yes,Yes
,Alternators,A,2005,USA,Basic,Swerve,Red Cheverolet Corvette Z06,Yes,Yes
,Alternators,D,2004,USA,Basic,Swindle,Yellow Jeep Wrangler,Yes,Yes
,Alternators,A,2006,USA,Basic,Swindle,Orange Jeep Wrangler,Yes,Yes
,Alternators,A,2004,USA,Basic,Tracks,Blue Cheverolet Corvette Z06,No,No
,Alternators,A,2005,USA,Basic,Wheeljack,White/Blue Ford Mustang GT,Yes,Yes
,Alternators,A,2004,USA,Basic,Windcharger,Red Honda S2000,No,No
,Armada,D,2003,USA,Gigacon,Galvatron,Purple/Gold/Grey Tank,Yes,No
,Armada,A,2002,USA,Gigacon,Jetfire,White/Grey/Red Space Shuttle,No,No
,Armada,C,2003,Japan,Gigacon,Jetfire (Powerlinx),White/Grey/Blue Space Shuttle,Yes,No
,Armada,A,2003,USA,Gigacon,Jetfire (Powerlinx),White/Grey/Blue Space Shuttle,Yes,No
,Armada,D,2002,USA,Gigacon,Megatron,Red/Yellow/Blue/Green/Grey Tank,No,No
,Armada,D,2004,USA,Gigacon,Megazarak,Red/Gold/Blue/Black/Grey Tank,Yes,No
,Armada,A,2002,USA,Gigacon,Optimus Prime,Red/Blue/Grey Tractor Cab,No,No
,Armada,A,2003,USA,Gigacon,Optimus Prime (Gold Cab),Red/Grey Tractor Cab with Chrome Parts in Gold,Yes,No
,Armada,A,2003,USA,Gigacon,Optimus Prime (Powerlinx),Red/Grey Tractor Cab,Yes,No
,Armada,D,2003,USA,Gigacon,Tidal Wave,Assault Ship,No,No
,Armada,D,2003,USA,Gigacon,Unicron,Grey/Orange/Purple/White Planet,No,No
,Armada,A,2003,USA,Maxcon,Overload,Red Trailer,No,No
,Armada,D,2003,Japan,Maxcon,Predacon,Green/Cream/Grey Tyrannosaurus Rex,Yes,Yes
,Armada,D,2003,USA,Maxcon,Predacon,Green/Cream/Grey Tyrannosaurus Rex,Yes,Yes
,Armada,A,2002,USA,Maxcon,Red Alert,Red/White/Blue/Grey Sports Utility Vehicle (Paramedic Chaser),No,No
,Armada,A,2003,USA,Maxcon,Red Alert (Powerlinx),Orange/White/Black/Grey Sports Utility Vehicle (Paramedic Chaser),Yes,No
,Armada,A,2002,USA,Maxcon,Scavenger,Green/Purple Bulldozer/Roller Truck,No,No
,Armada,A,2004,USA,Maxcon,Sentinel Maximus,Red/Blue/White/Gery Trailer,Yes,Yes
,Armada,D,2003,Japan,Maxcon,Sky Warp,Black/Purple/Grey Jet,Yes,Yes
,Armada,D,2003,USA,Maxcon,Sky Warp,Black/Purple/Grey Jet,Yes,Yes
,Armada,D,2002,USA,Maxcon,Starscream,Red/Black/Grey/Yellow Jet,No,No
,Armada,D,2003,USA,Maxcon,Thundercracker,Red/Black/Blue/Grey Jet,Yes,Yes
,Armada,D,2002,USA,Mcdonald's,Cyclonus,Blue/Grey/Orange Helicopter,No,No
,Armada,D,2002,USA,Mcdonald's,Demolishor,Red/Grey/Tan/Olive Missile Tank,No,No
,Armada,A,2002,USA,Mcdonald's,Hotshot,Yellow/Blue Sports Car,No,No
,Armada,D,2002,USA,Mcdonald's,Megatron,Green/Blue/Grey/Black Tank,No,No
,Armada,A,2002,USA,Mcdonald's,Optimus Prime,Red/Grey/Blue Tractor Cab,No,No
,Armada,A,2002,USA,Mcdonald's,Red Alert,White/Red Sports Utility Vehicle,No,No
,Armada,A,2002,USA,Mcdonald's,Smokescreen,Orange/Grey/Blue/Black Crane,No,No
,Armada,D,2002,USA,Mcdonald's,Starscream,Red/Black/Grey Jet,No,No
,Armada,N,2003,Japan,Micron Partner,Armorhide,Grey/Blue Snow Cat,Yes,No
,Armada,N,2003,Japan,Micron Partner,Cliffjumper,Purple/Black Winch Jeep,Yes,No
,Armada,N,2003,Japan,Micron Partner,Comettor (Powerlinx),Red/White Moon Buggy,Yes,No
,Armada,N,2003,Japan,Micron Partner,Crumplezone (Powerlinx),Green/Grey/Brown/Black Car,Yes,No
,Armada,N,2003,Japan,Micron Partner,Inferno (Powerlinx),Inferno (Micron) - Green Missile Truck,Yes,No
,Armada,N,2003,Japan,Micron Partner,Inferno (Powerlinx),Inferno (Micron) - Green Missile Truck,Yes,No
,Armada,N,2003,Japan,Micron Partner,Ironhide,Black/Brown Dune Buggy,Yes,No
,Armada,N,2003,Japan,Micron Partner,Nightscream,Purple/Grey Sports Car,Yes,No
,Armada,N,2003,Japan,Micron Partner,Sideburn,Brown Sports Car,Yes,No
,Armada,N,2003,Japan,Micron Partner,Skid-Z,Black/Red Sports Car,Yes,No
